,Desc_word_count,channelSubscribers,dayslive,mean_energy_entropy,mean_spectral_entropy,Description_ne_counts,Title_ne_counts,tags_composer,Title_composer,Description_composer,tags_artists,Title_artists,Description_artists,tags_instruments,Title_instruments,Description_instruments,tags_genres,Title_genres,Description_genres,tags_count,Title_pos,Description_pos,tags_pos,mfccPC1,mfccPC2,views_cat,viewCount
1425,28,1.0,1142.422650462963,3.213171846338557,0.7073684378987634,9,2,2,0,2,0,0,0,0,0,0,0,0,0,10,-0.05,-0.05,-0.05,-0.008016432721702974,-0.3583826799792106,0,24.0
1426,28,154.0,1244.4608564814814,3.230246819382522,0.600598360186284,16,8,0,2,2,0,0,0,0,0,0,0,0,0,2,-0.05,-0.05,-0.05,-0.7619892237383973,0.40025852685271407,0,6.0
1427,30,3.0,718.5015046296296,3.1641997589669177,0.04784021824477787,17,10,0,0,0,0,0,0,0,2,2,0,0,0,2,-0.05,-0.05,-0.05,2.349490501718199,1.257998800407374,0,6.0
1428,29,173.0,3377.860960648148,3.234495462569766,0.3977527665513288,5,2,3,1,1,0,0,0,0,0,0,0,0,0,7,0.06818181818181818,0.175,0.0,2.3865736803032367,0.15642899721283451,1,1207.0
1429,25,11.0,2499.3969444444447,3.2242803305236314,0.4388613995865474,6,8,0,1,1,3,0,0,0,0,0,0,0,0,5,0.13636363636363635,0.3833333333333333,0.0,3.547441727115431,0.5030180401719682,1,1623.0
1430,13,18.0,914.3821643518519,3.219682228699749,0.13665120320977334,7,4,0,1,0,0,0,0,1,1,0,0,0,0,6,0.0,0.0,0.0,6.27322854069777,-2.8349217344297046,2,2816.0
1431,25,4287.0,528.7067245370371,3.1508980179188844,0.03655501149545922,14,5,0,0,4,0,0,1,0,1,1,0,0,0,5,0.0,0.0,0.1,2.0621462371887382,1.281684735033199,0,36.0
1432,19,34505.0,2798.490266203704,3.1434219134649264,0.5961515411243585,7,5,5,5,1,0,0,0,2,0,0,0,0,0,9,0.0,0.0,0.0,1.0485390511174235,1.1543249178841262,2,7251.0
1433,6,32.0,1490.0275578703704,3.2234805604717716,0.5767083333638874,6,3,1,1,2,0,0,0,1,0,2,0,0,0,4,0.0,0.0,0.0,-0.8406633732318309,1.152408435805748,1,576.0
1434,30,3.0,136.44493055555554,3.2166653320835024,0.6711423784157294,16,8,0,1,1,0,0,0,0,1,1,0,0,0,2,-0.05,-0.05,-0.05,0.7183453118202946,0.5149082918214883,0,0.0
1435,26,78.0,1455.536550925926,3.2125086971983063,0.6773556803393349,13,7,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.05,-0.025,-0.025,1.7676869779461108,1.5271506354323396,0,4.0
1436,27,2.0,585.5682407407407,3.158351324703627,0.08788418945745442,12,6,0,0,1,0,0,0,0,1,2,0,0,0,2,0.0,0.0,0.0,-0.2826301673697913,-0.22490066965087863,0,2.0
1437,11,221.0,851.9996296296297,3.2084177359905057,0.4433151542801411,7,7,0,4,4,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,-0.7605463340284444,0.7998278778293394,2,2292.0
1438,10,22132.0,2762.0880902777776,3.1366680060872483,0.8253317923057356,6,4,1,0,0,0,0,0,1,0,0,0,0,0,9,0.0,0.0,0.13636363636363635,2.2930961011537163,1.380298117977965,3,70647.0
1439,24,18.0,1770.3382523148148,3.202194561997868,0.2281955119856204,6,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,-1.4755708648904884,-0.13446505419611743,3,21952.0
1440,14,27294.0,2275.277673611111,3.1362310341790254,0.5432340579115308,8,4,1,1,1,0,0,0,1,0,2,0,0,0,10,0.0,0.0,0.0,1.2264275759148728,1.5404221057891205,3,36261.0
1441,18,143295.0,1192.1233101851851,3.1721373556156256,0.2625913313930773,7,4,1,0,1,0,0,0,1,1,0,0,0,0,21,-0.2,0.25,-0.0066666666666666706,-1.1119085208692616,-0.37918350966965003,3,111826.0
1442,24,4541.0,3541.063460648148,3.18710859845112,0.3711699130388986,9,4,2,3,3,0,0,0,1,0,0,0,0,0,9,0.0,0.0,0.0,4.739786909649879,-1.6949379316047928,2,14626.0
1443,29,0.0,1210.4255902777777,3.208309436064966,0.026574601489547253,18,6,0,0,1,0,0,0,0,1,1,0,0,0,2,0.0,0.0,0.0,1.1024824217480134,-0.2378933192478957,0,45.0
1444,4,1887.0,4369.577465277778,3.2376771274817675,0.6555805999979896,3,3,4,4,0,1,1,0,1,0,0,0,0,0,13,0.0,0.0,0.043181818181818175,0.12340736229204721,1.2122538404342826,3,187240.0
